// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> Returning to the dorm, we changed to our jerseys.

//<0001> ジャージに着替えて、トレーニングの準備をする。
<0001> Having changed into our jerseys, we started the preparation for the training.

//<0002> nothing
//<0543> かなり速いピッチだ。
<0543> He had a faster pace than me.

//<0544> それでも黙々と走り続けた。
<0544> But I continued running without a word.

//<0545> Otonashi
<0545> Otonashi

//<0546> クソ坊主
<0546> クソ坊主

//<0547> 代理人
<0547> 代理人

//<0548> 微妙すぎるイケメン
<0548> 微妙すぎるイケメン

//<0549> ロリコン
<0549> ロリコン

//<0550> メガネ仲間
<0550> メガネ仲間

//<0551> 暗算日本記録保持者
<0551> 暗算日本記録保持者

//<0552> 通り魔
<0552> 通り魔

//<0553> 記憶ナシ男
<0553> 記憶ナシ男

//<0554> 音速
<0554> 音速

//<0555> 無限
<0555> 無限

//<0556> Horny Samurai
<0556> Horny Samurai

//<0557> Super Horny Squad Member 1
<0557> Super Horny Squad Member 1

//<0558> Horny Boy
<0558> Horny Boy

//<0559> Ugly Yuri
<0559> Ugly Yuri

//<0560> Depussy
<0560> Depussy

//<0561> Perverted American Dog
<0561> Perverted American Dog

//<0562> Zeus
<0562> Zeus

//<0563> Hinata mark II
<0563> Hinata mark II

//<0564> Dung Beetle
<0564> Dung Beetle

//<0565> Mass Produced Hinata
<0565> Mass Produced Hinata

//<0566> ？？
<0566> ？？

//<0567> (あれ?)
<0567> (Huh?)

//<0568> Otonashi
<0568> Otonashi

//<0569> クソ坊主
<0569> クソ坊主

//<0570> 代理人
<0570> 代理人

//<0571> 微妙すぎるイケメン
<0571> 微妙すぎるイケメン

//<0572> ロリコン
<0572> ロリコン

//<0573> メガネ仲間
<0573> メガネ仲間

//<0574> 暗算日本記録保持者
<0574> 暗算日本記録保持者

//<0575> 通り魔
<0575> 通り魔

//<0576> 記憶ナシ男
<0576> 記憶ナシ男

//<0577> 音速
<0577> 音速

//<0578> 無限
<0578> 無限

//<0579> Horny Samurai
<0579> Horny Samurai

//<0580> Super Horny Squad Member 1
<0580> Super Horny Squad Member 1

//<0581> Horny Boy
<0581> Horny Boy

//<0582> Ugly Yuri
<0582> Ugly Yuri

//<0583> Depussy
<0583> Depussy

//<0584> Perverted American Dog
<0584> Perverted American Dog

//<0585> Zeus
<0585> Zeus

//<0586> Hinata mark II
<0586> Hinata mark II

//<0587> Dung Beetle
<0587> Dung Beetle

//<0588> Mass Produced Hinata
<0588> Mass Produced Hinata

//<0589> ？？
<0589> ？？

//<0590> 「はっ…!　はっ…!」
<0590> 「Haa…!　Haa…!」

//<0591> 五周もしたところで、息が上がってきた。
<0591> Even before I completed 5 laps, I started gasping for air.

//<0592> Hinataの背中が離れていく…。
<0592> Hinata was getting further away from me…

//<0593> それに気づいてHinataが戻ってくる。
<0593> Hinata noticed my condition, and came running back to me.

//<0594> nothing
<0594> nothing

//<0595> nothing
<0595> nothing

//<0596> nothing
<0596> nothing

//<0597> nothing
<0597> nothing

//<0598> nothing
<0598> nothing

//<0599> Hinata
<0599> Hinata

//<0600> 男Ｂ
<0600> 男Ｂ

//<0601> Super Horny Squad Leader
<0601> Super Horny Squad Leader

//<0602> Handsome-chin
<0602> Handsome-chin

//<0603> Homota
<0603> Homota

//<0604> Hina-chin
<0604> Hina-chin

//<0605> Hideki
<0605> Hideki

//<0606> 男子生徒
<0606> 男子生徒

//<0607> ？？
<0607> ？？

//<0608> 「もう、お前は休んでろ。俺はまだまだ走るから」
<0608> 「You can rest for a bit. I can still run some more.」

//<0609> Otonashi
<0609> Otonashi

//<0610> クソ坊主
<0610> クソ坊主

//<0611> 代理人
<0611> 代理人

//<0612> 微妙すぎるイケメン
<0612> 微妙すぎるイケメン

//<0613> ロリコン
<0613> ロリコン

//<0614> メガネ仲間
<0614> メガネ仲間

//<0615> 暗算日本記録保持者
<0615> 暗算日本記録保持者

//<0616> 通り魔
<0616> 通り魔

//<0617> 記憶ナシ男
<0617> 記憶ナシ男

//<0618> 音速
<0618> 音速

//<0619> 無限
<0619> 無限

//<0620> Horny Samurai
<0620> Horny Samurai

//<0621> Super Horny Squad Member 1
<0621> Super Horny Squad Member 1

//<0622> Horny Boy
<0622> Horny Boy

//<0623> Ugly Yuri
<0623> Ugly Yuri

//<0624> Depussy
<0624> Depussy

//<0625> Perverted American Dog
<0625> Perverted American Dog

//<0626> Zeus
<0626> Zeus

//<0627> Hinata mark II
<0627> Hinata mark II

//<0628> Dung Beetle
<0628> Dung Beetle

//<0629> Mass Produced Hinata
<0629> Mass Produced Hinata

//<0630> ？？
<0630> ？？

//<0631> 「ああ…」
<0631> 「Ok…」

//<0632> nothing
<0632> nothing

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> nothing
<0635> nothing

//<0636> nothing
<0636> nothing

//<0637> nothing
<0637> nothing

//<0638> Otonashi
<0638> Otonashi

//<0639> クソ坊主
<0639> クソ坊主

//<0640> 代理人
<0640> 代理人

//<0641> 微妙すぎるイケメン
<0641> 微妙すぎるイケメン

//<0642> ロリコン
<0642> ロリコン

//<0643> メガネ仲間
<0643> メガネ仲間

//<0644> 暗算日本記録保持者
<0644> 暗算日本記録保持者

//<0645> 通り魔
<0645> 通り魔

//<0646> 記憶ナシ男
<0646> 記憶ナシ男

//<0647> 音速
<0647> 音速

//<0648> 無限
<0648> 無限

//<0649> Horny Samurai
<0649> Horny Samurai

//<0650> Super Horny Squad Member 1
<0650> Super Horny Squad Member 1

//<0651> Horny Boy
<0651> Horny Boy

//<0652> Ugly Yuri
<0652> Ugly Yuri

//<0653> Depussy
<0653> Depussy

//<0654> Perverted American Dog
<0654> Perverted American Dog

//<0655> Zeus
<0655> Zeus

//<0656> Hinata mark II
<0656> Hinata mark II

//<0657> Dung Beetle
<0657> Dung Beetle

//<0658> Mass Produced Hinata
<0658> Mass Produced Hinata

//<0659> ？？
<0659> ？？

//<0660> (この体力の無さ…どんな生前だったんだ…)
<0660> (I have no stamina whatsoever… What kind of life did I live…?)

//<0661> Hinataが走り終えた。
<0661> Hinata stopped running.

//<0662> nothing
<0662> nothing

//<0663> nothing
<0663> nothing

//<0664> nothing
<0664> nothing

//<0665> nothing
<0665> nothing

//<0666> nothing
<0666> nothing

//<0667> Hinata
<0667> Hinata

//<0668> 男Ｂ
<0668> 男Ｂ

//<0669> Super Horny Squad Leader
<0669> Super Horny Squad Leader

//<0670> Handsome-chin
<0670> Handsome-chin

//<0671> Homota
<0671> Homota

//<0672> Hina-chin
<0672> Hina-chin

//<0673> Hideki
<0673> Hideki

//<0674> 男子生徒
<0674> 男子生徒

//<0675> ？？
<0675> ？？

//<0676> 「十分休めただろ?」
<0676> 「Are you ready to go now?」

//<0677> Otonashi
<0677> Otonashi

//<0678> クソ坊主
<0678> クソ坊主

//<0679> 代理人
<0679> 代理人

//<0680> 微妙すぎるイケメン
<0680> 微妙すぎるイケメン

//<0681> ロリコン
<0681> ロリコン

//<0682> メガネ仲間
<0682> メガネ仲間

//<0683> 暗算日本記録保持者
<0683> 暗算日本記録保持者

//<0684> 通り魔
<0684> 通り魔

//<0685> 記憶ナシ男
<0685> 記憶ナシ男

//<0686> 音速
<0686> 音速

//<0687> 無限
<0687> 無限

//<0688> Horny Samurai
<0688> Horny Samurai

//<0689> Super Horny Squad Member 1
<0689> Super Horny Squad Member 1

//<0690> Horny Boy
<0690> Horny Boy

//<0691> Ugly Yuri
<0691> Ugly Yuri

//<0692> Depussy
<0692> Depussy

//<0693> Perverted American Dog
<0693> Perverted American Dog

//<0694> Zeus
<0694> Zeus

//<0695> Hinata mark II
<0695> Hinata mark II

//<0696> Dung Beetle
<0696> Dung Beetle

//<0697> Mass Produced Hinata
<0697> Mass Produced Hinata

//<0698> ？？
<0698> ？？

//<0699> 「ああ」
<0699> 「Yeah.」

//<0700> nothing
<0700> nothing

//<0701> nothing
<0701> nothing

//<0702> nothing
<0702> nothing

//<0703> nothing
<0703> nothing

//<0704> nothing
<0704> nothing

//<0705> Hinata
<0705> Hinata

//<0706> 男Ｂ
<0706> 男Ｂ

//<0707> Super Horny Squad Leader
<0707> Super Horny Squad Leader

//<0708> Handsome-chin
<0708> Handsome-chin

//<0709> Homota
<0709> Homota

//<0710> Hina-chin
<0710> Hina-chin

//<0711> Hideki
<0711> Hideki

//<0712> 男子生徒
<0712> 男子生徒

//<0713> ？？
<0713> ？？

//<0714> 「よし、次は筋トレいくかー。やっぱふたり居ると便利だぜ」
<0714> 「Ok. Next up is muscle training. Having two surely is convenient.」

//<0715> Otonashi
<0715> Otonashi

//<0716> クソ坊主
<0716> クソ坊主

//<0717> 代理人
<0717> 代理人

//<0718> 微妙すぎるイケメン
<0718> 微妙すぎるイケメン

//<0719> ロリコン
<0719> ロリコン

//<0720> メガネ仲間
<0720> メガネ仲間

//<0721> 暗算日本記録保持者
<0721> 暗算日本記録保持者

//<0722> 通り魔
<0722> 通り魔

//<0723> 記憶ナシ男
<0723> 記憶ナシ男

//<0724> 音速
<0724> 音速

//<0725> 無限
<0725> 無限

//<0726> Horny Samurai
<0726> Horny Samurai

//<0727> Super Horny Squad Member 1
<0727> Super Horny Squad Member 1

//<0728> Horny Boy
<0728> Horny Boy

//<0729> Ugly Yuri
<0729> Ugly Yuri

//<0730> Depussy
<0730> Depussy

//<0731> Perverted American Dog
<0731> Perverted American Dog

//<0732> Zeus
<0732> Zeus

//<0733> Hinata mark II
<0733> Hinata mark II

//<0734> Dung Beetle
<0734> Dung Beetle

//<0735> Mass Produced Hinata
<0735> Mass Produced Hinata

//<0736> ？？
<0736> ？？

//<0737> 「どうして?」
<0737> 「Why?」

//<0738> nothing
<0738> nothing

//<0739> nothing
<0739> nothing

//<0740> nothing
<0740> nothing

//<0741> nothing
<0741> nothing

//<0742> nothing
<0742> nothing

//<0743> Hinata
<0743> Hinata

//<0744> 男Ｂ
<0744> 男Ｂ

//<0745> Super Horny Squad Leader
<0745> Super Horny Squad Leader

//<0746> Handsome-chin
<0746> Handsome-chin

//<0747> Homota
<0747> Homota

//<0748> Hina-chin
<0748> Hina-chin

//<0749> Hideki
<0749> Hideki

//<0750> 男子生徒
<0750> 男子生徒

//<0751> ？？
<0751> ？？

//<0752> 「腹筋、背筋をする時、お互い足を押さえられるじゃないか」
<0752> 「Well, when we do sit ups or stretch our backs, we stretch each other's legs, right?」

//<0753> Otonashi
<0753> Otonashi

//<0754> クソ坊主
<0754> クソ坊主

//<0755> 代理人
<0755> 代理人

//<0756> 微妙すぎるイケメン
<0756> 微妙すぎるイケメン

//<0757> ロリコン
<0757> ロリコン

//<0758> メガネ仲間
<0758> メガネ仲間

//<0759> 暗算日本記録保持者
<0759> 暗算日本記録保持者

//<0760> 通り魔
<0760> 通り魔

//<0761> 記憶ナシ男
<0761> 記憶ナシ男

//<0762> 音速
<0762> 音速

//<0763> 無限
<0763> 無限

//<0764> Horny Samurai
<0764> Horny Samurai

//<0765> Super Horny Squad Member 1
<0765> Super Horny Squad Member 1

//<0766> Horny Boy
<0766> Horny Boy

//<0767> Ugly Yuri
<0767> Ugly Yuri

//<0768> Depussy
<0768> Depussy

//<0769> Perverted American Dog
<0769> Perverted American Dog

//<0770> Zeus
<0770> Zeus

//<0771> Hinata mark II
<0771> Hinata mark II

//<0772> Dung Beetle
<0772> Dung Beetle

//<0773> Mass Produced Hinata
<0773> Mass Produced Hinata

//<0774> ？？
<0774> ？？

//<0775> 「確かに…」
<0775> 「I guess so…」

//<0776> nothing
<0776> nothing

//<0777> nothing
<0777> nothing

//<0778> nothing
<0778> nothing

//<0779> nothing
<0779> nothing

//<0780> nothing
<0780> nothing

//<0781> Hinata
<0781> Hinata

//<0782> 男Ｂ
<0782> 男Ｂ

//<0783> Super Horny Squad Leader
<0783> Super Horny Squad Leader

//<0784> Handsome-chin
<0784> Handsome-chin

//<0785> Homota
<0785> Homota

//<0786> Hina-chin
<0786> Hina-chin

//<0787> Hideki
<0787> Hideki

//<0788> 男子生徒
<0788> 男子生徒

//<0789> ？？
<0789> ？？

//<0790> 「よし、まずお前が先に俺の足を押さえてくれ」
<0790> 「Ok, grab my ankles. I'll do my sit-ups.」

//<0791> nothing
<0791> nothing

//<0792> nothing
<0792> nothing

//<0793> nothing
<0793> nothing

//<0794> nothing
<0794> nothing

//<0795> nothing
<0795> nothing

//<0796> nothing
<0796> nothing

//<0797> そう言って、Hinataが仰向きに寝る。
<0797> After saying that, Hinata laid down on the ground.

//<0798> その両足首を押さえる。
<0798> I grabbed both of his ankles.

//<0799> Hinata
<0799> Hinata

//<0800> 男Ｂ
<0800> 男Ｂ

//<0801> Super Horny Squad Leader
<0801> Super Horny Squad Leader

//<0802> Handsome-chin
<0802> Handsome-chin

//<0803> Homota
<0803> Homota

//<0804> Hina-chin
<0804> Hina-chin

//<0805> Hideki
<0805> Hideki

//<0806> 男子生徒
<0806> 男子生徒

//<0807> ？？
<0807> ？？

//<0808> 「いっち!　にっ!」
<0808> 「One! Two!」

//<0809> Hinataの腹筋が始まる。
<0809> Hinata started his sit-ups.

//<0810> Hinata
<0810> Hinata

//<0811> 男Ｂ
<0811> 男Ｂ

//<0812> Super Horny Squad Leader
<0812> Super Horny Squad Leader

//<0813> Handsome-chin
<0813> Handsome-chin

//<0814> Homota
<0814> Homota

//<0815> Hina-chin
<0815> Hina-chin

//<0816> Hideki
<0816> Hideki

//<0817> 男子生徒
<0817> 男子生徒

//<0818> ？？
<0818> ？？

//<0819> 「百!　はーっ、お仕舞い!」
<0819> 「One hundred! Haa, that's good enough!!」

//<0820> nothing
<0820> nothing

//<0821> nothing
<0821> nothing

//<0822> nothing
<0822> nothing

//<0823> nothing
<0823> nothing

//<0824> nothing
<0824> nothing

//<0825> Otonashi
<0825> Otonashi

//<0826> クソ坊主
<0826> クソ坊主

//<0827> 代理人
<0827> 代理人

//<0828> 微妙すぎるイケメン
<0828> 微妙すぎるイケメン

//<0829> ロリコン
<0829> ロリコン

//<0830> メガネ仲間
<0830> メガネ仲間

//<0831> 暗算日本記録保持者
<0831> 暗算日本記録保持者

//<0832> 通り魔
<0832> 通り魔

//<0833> 記憶ナシ男
<0833> 記憶ナシ男

//<0834> 音速
<0834> 音速

//<0835> 無限
<0835> 無限

//<0836> Horny Samurai
<0836> Horny Samurai

//<0837> Super Horny Squad Member 1
<0837> Super Horny Squad Member 1

//<0838> Horny Boy
<0838> Horny Boy

//<0839> Ugly Yuri
<0839> Ugly Yuri

//<0840> Depussy
<0840> Depussy

//<0841> Perverted American Dog
<0841> Perverted American Dog

//<0842> Zeus
<0842> Zeus

//<0843> Hinata mark II
<0843> Hinata mark II

//<0844> Dung Beetle
<0844> Dung Beetle

//<0845> Mass Produced Hinata
<0845> Mass Produced Hinata

//<0846> ？？
<0846> ？？

//<0847> 「お前すげーな…」
<0847> 「You're amazing…」

//<0848> nothing
<0848> nothing

//<0849> nothing
<0849> nothing

//<0850> nothing
<0850> nothing

//<0851> nothing
<0851> nothing

//<0852> nothing
<0852> nothing

//<0853> Hinata
<0853> Hinata

//<0854> 男Ｂ
<0854> 男Ｂ

//<0855> Super Horny Squad Leader
<0855> Super Horny Squad Leader

//<0856> Handsome-chin
<0856> Handsome-chin

//<0857> Homota
<0857> Homota

//<0858> Hina-chin
<0858> Hina-chin

//<0859> Hideki
<0859> Hideki

//<0860> 男子生徒
<0860> 男子生徒

//<0861> ？？
<0861> ？？

//<0862> 「戦線のメンバーやってたら、これぐらいなんてことなくなるよ」
<0862> 「When you're a member of the battlefront, this much is nothing.」

//<0863> Otonashi
<0863> Otonashi

//<0864> クソ坊主
<0864> クソ坊主

//<0865> 代理人
<0865> 代理人

//<0866> 微妙すぎるイケメン
<0866> 微妙すぎるイケメン

//<0867> ロリコン
<0867> ロリコン

//<0868> メガネ仲間
<0868> メガネ仲間

//<0869> 暗算日本記録保持者
<0869> 暗算日本記録保持者

//<0870> 通り魔
<0870> 通り魔

//<0871> 記憶ナシ男
<0871> 記憶ナシ男

//<0872> 音速
<0872> 音速

//<0873> 無限
<0873> 無限

//<0874> Horny Samurai
<0874> Horny Samurai

//<0875> Super Horny Squad Member 1
<0875> Super Horny Squad Member 1

//<0876> Horny Boy
<0876> Horny Boy

//<0877> Ugly Yuri
<0877> Ugly Yuri

//<0878> Depussy
<0878> Depussy

//<0879> Perverted American Dog
<0879> Perverted American Dog

//<0880> Zeus
<0880> Zeus

//<0881> Hinata mark II
<0881> Hinata mark II

//<0882> Dung Beetle
<0882> Dung Beetle

//<0883> Mass Produced Hinata
<0883> Mass Produced Hinata

//<0884> ？？
<0884> ？？

//<0885> 「それだけ筋力が必要だということか…」
<0885> 「Do you need that much muscular strength…?」

//<0886> nothing
<0886> nothing

//<0887> nothing
<0887> nothing

//<0888> nothing
<0888> nothing

//<0889> nothing
<0889> nothing

//<0890> nothing
<0890> nothing

//<0891> Hinata
<0891> Hinata

//<0892> 男Ｂ
<0892> 男Ｂ

//<0893> Super Horny Squad Leader
<0893> Super Horny Squad Leader

//<0894> Handsome-chin
<0894> Handsome-chin

//<0895> Homota
<0895> Homota

//<0896> Hina-chin
<0896> Hina-chin

//<0897> Hideki
<0897> Hideki

//<0898> 男子生徒
<0898> 男子生徒

//<0899> ？？
<0899> ？？

//<0900> 「基本銃撃戦だが、銃を撃つためには、筋力も必要となってくる」
<0900> 「We might use guns as our major weapon, but we need strength to shoot as well.」

//<0901> nothing
<0901> nothing

//<0902> nothing
<0902> nothing

//<0903> nothing
<0903> nothing

//<0904> nothing
<0904> nothing

//<0905> nothing
<0905> nothing

//<0906> Hinata
<0906> Hinata

//<0907> 男Ｂ
<0907> 男Ｂ

//<0908> Super Horny Squad Leader
<0908> Super Horny Squad Leader

//<0909> Handsome-chin
<0909> Handsome-chin

//<0910> Homota
<0910> Homota

//<0911> Hina-chin
<0911> Hina-chin

//<0912> Hideki
<0912> Hideki

//<0913> 男子生徒
<0913> 男子生徒

//<0914> ？？
<0914> ？？

//<0915> 「それ以外に、突発で発動するオペレーションでもな。鍛えておくにこしたことはない」
<0915> 「Other than that, there are operations where we have to move a lot. You might as well train yourself.」

//<0916> nothing
<0916> nothing

//<0917> nothing
<0917> nothing

//<0918> nothing
<0918> nothing

//<0919> nothing
<0919> nothing

//<0920> nothing
<0920> nothing

//<0921> Hinata
<0921> Hinata

//<0922> 男Ｂ
<0922> 男Ｂ

//<0923> Super Horny Squad Leader
<0923> Super Horny Squad Leader

//<0924> Handsome-chin
<0924> Handsome-chin

//<0925> Homota
<0925> Homota

//<0926> Hina-chin
<0926> Hina-chin

//<0927> Hideki
<0927> Hideki

//<0928> 男子生徒
<0928> 男子生徒

//<0929> ？？
<0929> ？？

//<0930> 「次はHorny Boyの番だ」
<0930> 「Next is your turn.」

//<0931> Hinata
<0931> Hinata

//<0932> 男Ｂ
<0932> 男Ｂ

//<0933> Super Horny Squad Leader
<0933> Super Horny Squad Leader

//<0934> Handsome-chin
<0934> Handsome-chin

//<0935> Homota
<0935> Homota

//<0936> Hina-chin
<0936> Hina-chin

//<0937> Hideki
<0937> Hideki

//<0938> 男子生徒
<0938> 男子生徒

//<0939> ？？
<0939> ？？

//<0940> 「じゃ、次はOtonashiだ」
<0940> 「Now it's your turn.」

//<0941> Otonashi
<0941> Otonashi

//<0942> クソ坊主
<0942> クソ坊主

//<0943> 代理人
<0943> 代理人

//<0944> 微妙すぎるイケメン
<0944> 微妙すぎるイケメン

//<0945> ロリコン
<0945> ロリコン

//<0946> メガネ仲間
<0946> メガネ仲間

//<0947> 暗算日本記録保持者
<0947> 暗算日本記録保持者

//<0948> 通り魔
<0948> 通り魔

//<0949> 記憶ナシ男
<0949> 記憶ナシ男

//<0950> 音速
<0950> 音速

//<0951> 無限
<0951> 無限

//<0952> Horny Samurai
<0952> Horny Samurai

//<0953> Super Horny Squad Member 1
<0953> Super Horny Squad Member 1

//<0954> Horny Boy
<0954> Horny Boy

//<0955> Ugly Yuri
<0955> Ugly Yuri

//<0956> Depussy
<0956> Depussy

//<0957> Perverted American Dog
<0957> Perverted American Dog

//<0958> Zeus
<0958> Zeus

//<0959> Hinata mark II
<0959> Hinata mark II

//<0960> Dung Beetle
<0960> Dung Beetle

//<0961> Mass Produced Hinata
<0961> Mass Produced Hinata

//<0962> ？？
<0962> ？？

//<0963> 「わかった…」
<0963> 「Got it…」

//<0964> nothing
<0964> nothing

//<0965> nothing
<0965> nothing

//<0966> nothing
<0966> nothing

//<0967> nothing
<0967> nothing

//<0968> nothing
<0968> nothing

//<0969> nothing
<0969> nothing

//<0970> 俺はたった２０回で、音を上げる。
<0970> I started grunting after only 20 sit-ups.
